Samples,Step,VOM2,VOM5,VOM6,VOM15,VOM18,VOM25,VOM28,VOM31,VOM36,VOM37,VOM38,VOM40,VOM44,VOM48,VOM55,VOM60,VOM62,VOM66,VOM68,VOM70
T09-D-1,A,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,0,1
T11-D-1,A,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,1,0,0,1,1
T12-D-1,A,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1
T13-D-1,A,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,1
T14-D-1,A,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1
T15-D-1,A,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,1
T09-D-5,A,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
T11-D-5,A,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,1,0,0,0,1
T12-D-5,A,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1
T13-D-5,A,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1
T14-D-5,A,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1
T15-D-5,A,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,1,1
T09-I-D-1,PI,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,0,1
T11-I-D-1,PI,0,0,1,0,1,1,1,0,0,1,0,0,1,1,1,1,1,0,0,1
T12-I-D-1,PI,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1
T13-I-D-1,PI,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
T14-I-D-1,PI,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1
T15-I-D-1,PI,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1
T09-I-D-5,PI,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
T11-I-D-5,PI,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0
T12-I-D-5,PI,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
T13-I-D-5,PI,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1
T14-I-D-5,PI,0,1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1
T15-I-D-5,PI,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,1
T09-I-D-10,PI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
T11-I-D-10,PI,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
T12-I-D-10,PI,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,1
T13-I-D-10,PI,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
T14-I-D-10,PI,0,0,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,1
T15-I-D-10,PI,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0
T09-I-D-15,PI,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
T11-I-D-15,PI,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
T12-I-D-15,PI,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0
T13-I-D-15,PI,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0
T14-I-D-15,PI,1,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0
T15-I-D-15,PI,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
T09-I-D-20,PI,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1
T11-I-D-20,PI,1,0,1,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,1,0
T12-I-D-20,PI,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1
T13-I-D-20,PI,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
T14-I-D-20,PI,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
T15-I-D-20,PI,1,0,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0
T09-I-D-25,PI,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
T11-I-D-25,PI,1,0,1,0,1,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0
T12-I-D-25,PI,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
T13-I-D-25,PI,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
T14-I-D-25,PI,1,0,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,1,0
T15-I-D-25,PI,1,0,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,1
T09-I-D-30,PI,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
T11-I-D-30,PI,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0
T12-I-D-30,PI,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
T13-I-D-30,PI,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
T14-I-D-30,PI,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
T15-I-D-30,PI,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
T09-I-D-35,PI,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1
T11-I-D-35,PI,0,0,1,0,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,1
T12-I-D-35,PI,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
T13-I-D-35,PI,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
T14-I-D-35,PI,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1
T15-I-D-35,PI,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
T09-I-D-40,PI,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
T11-I-D-40,PI,1,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0
T12-I-D-40,PI,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
T13-I-D-40,PI,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
T14-I-D-40,PI,1,0,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0
T15-I-D-40,PI,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
T09-I-D-45,PI,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
T11-I-D-45,PI,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0
T12-I-D-45,PI,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
T13-I-D-45,PI,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
T14-I-D-45,PI,0,1,1,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0
T15-I-D-45,PI,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
